path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,doc_class,candidate_action,reason
docs/law-firm-os-implementation-plan.md,tracked,.md,4464,2026-06-19,17,docs,docs/law-firm-os-implementation-plan.md,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/client-ui-customer-opportunity-tuw-plan.md,tracked,.md,15111,2026-06-29,7,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/current-ui-production-reflection-receipt-2026-06-29.json,tracked,.json,5127,2026-06-29,7,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx1-final-product-completion-gate-repair.md,tracked,.md,3050,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx2-remediation-package-crosswalk.md,tracked,.md,8912,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx3-production-persistence-decision.md,tracked,.md,1440,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx4-client-matter-people-runtime-flow.md,tracked,.md,2961,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx5-ui-api-manual-qa.md,tracked,.md,4032,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx6-locked-domain-unlock-packets.md,tracked,.md,3218,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/lcx7-launch-receipt-intake-pr-closeout.md,tracked,.md,4064,2026-06-21,15,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-current-clients-matter-codes-2026-07-01.xlsx,tracked,.xlsx,32362,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-matter-code-candidates-2026-07-01.csv,tracked,.csv,27749,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-matter-code-candidates-2026-07-01.json,tracked,.json,204636,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-matter-code-candidates-2026-07-01.md,tracked,.md,19303,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-onedrive-client-candidates-2026-07-01.csv,tracked,.csv,112626,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-onedrive-client-candidates-2026-07-01.json,tracked,.json,220284,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/amic-onedrive-client-candidates-2026-07-01.md,tracked,.md,9816,2026-07-01,5,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/desktop-screen-qa-result.json,tracked,.json,5820,2026-07-02,4,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/lcx-dprs-motion-progress-2026-07-02.json,tracked,.json,6526,2026-07-02,4,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/lcx-dprs-motion-progress-2026-07-02.md,tracked,.md,3306,2026-07-02,4,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/lcx-dprui-00-button-matrix.json,tracked,.json,4636,2026-06-30,6,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/lcx-dprui-00-source-trace.json,tracked,.json,2964,2026-06-30,6,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/lcx-dprui-05-secret-material-grep.json,tracked,.json,728,2026-06-30,6,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/lazycodex/evidence/matter-desktop/artifacts/lcx-dprui-06-screen-qa-result.json,tracked,.json,10452,2026-07-02,4,docs,docs/lazycodex,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
